th, 0, 2700270.tif, 99, 154, 174, 252, 0.313579, false
he, 0, 2700270.tif, 129, 154, 204, 252, 0.122306, false
er, 0, 2700270.tif, 144, 154, 219, 252, 0.223589, false
an, 0, 2700270.tif, 159, 154, 234, 252, 0.232900, false
re, 0, 2700270.tif, 159, 154, 234, 252, 0.166189, false
on, 0, 2700270.tif, 159, 154, 234, 252, 0.260033, false
at, 0, 2700270.tif, 114, 154, 189, 252, 0.202778, false
or, 0, 2700270.tif, 159, 154, 234, 252, 0.347070, false
es, 0, 2700270.tif, 99, 154, 174, 252, 0.144403, false
en, 0, 2700270.tif, 159, 154, 234, 252, 0.162986, false
te, 0, 2700270.tif, 129, 154, 204, 252, 0.193484, false
nd, 0, 2700270.tif, 159, 154, 234, 252, 0.213706, false
ed, 0, 2700270.tif, 129, 154, 204, 252, 0.123704, false
ar, 0, 2700270.tif, 159, 154, 234, 252, 0.242859, false
to, 0, 2700270.tif, 129, 154, 204, 252, 0.262644, false
ti, 0, 2700270.tif, 129, 154, 204, 252, 0.195367, false
st, 0, 2700270.tif, 159, 154, 234, 252, 0.229626, false
ng, 0, 2700270.tif, 159, 154, 234, 252, 0.245514, false
nt, 0, 2700270.tif, 99, 154, 174, 252, 0.242221, false
it, 0, 2700270.tif, 129, 154, 204, 252, 0.116062, false
th, 0, 2700270.tif, 783, 149, 858, 261, 0.129117, false
he, 0, 2700270.tif, 873, 149, 948, 261, 0.094436, false
er, 0, 2700270.tif, 813, 149, 888, 261, 0.338659, false
an, 0, 2700270.tif, 798, 149, 873, 261, 0.449703, true
re, 0, 2700270.tif, 873, 149, 948, 261, 0.075620, false
on, 0, 2700270.tif, 813, 149, 888, 261, 0.406528, false
at, 0, 2700270.tif, 783, 149, 858, 261, 0.285145, false
or, 0, 2700270.tif, 813, 149, 888, 261, 0.327933, false
es, 0, 2700270.tif, 813, 149, 888, 261, 0.189045, false
en, 0, 2700270.tif, 813, 149, 888, 261, 0.558302, false
te, 0, 2700270.tif, 783, 149, 858, 261, 0.175800, false
nd, 0, 2700270.tif, 843, 149, 918, 261, 0.497466, true
ed, 0, 2700270.tif, 858, 149, 933, 261, 0.421415, false
ar, 0, 2700270.tif, 783, 149, 858, 261, 0.301902, false
to, 0, 2700270.tif, 783, 149, 858, 261, 0.214869, false
ti, 0, 2700270.tif, 783, 149, 858, 261, 0.160109, false
st, 0, 2700270.tif, 858, 149, 933, 261, 0.101467, false
ng, 0, 2700270.tif, 828, 149, 903, 261, 0.260380, false
nt, 0, 2700270.tif, 843, 149, 918, 261, 0.220954, false
it, 0, 2700270.tif, 873, 149, 948, 261, 0.073405, false
th, 0, 2700270.tif, 1032, 122, 1107, 252, 0.207072, false
he, 0, 2700270.tif, 1032, 122, 1107, 252, 0.174751, false
er, 0, 2700270.tif, 1032, 122, 1107, 252, 0.160255, false
an, 0, 2700270.tif, 1017, 122, 1092, 252, 0.230004, false
re, 0, 2700270.tif, 1032, 122, 1107, 252, 0.187843, false
on, 0, 2700270.tif, 1257, 122, 1332, 252, 0.329569, true
at, 0, 2700270.tif, 1182, 122, 1257, 252, 0.183064, false
or, 0, 2700270.tif, 1257, 122, 1332, 252, 0.172558, false
es, 0, 2700270.tif, 1017, 122, 1092, 252, 0.312523, false
en, 0, 2700270.tif, 1017, 122, 1092, 252, 0.256806, false
te, 0, 2700270.tif, 1092, 122, 1167, 252, 0.390056, false
nd, 0, 2700270.tif, 1272, 122, 1347, 252, 0.321978, false
ed, 0, 2700270.tif, 1017, 122, 1092, 252, 0.160649, false
ar, 0, 2700270.tif, 1017, 122, 1092, 252, 0.145819, false
to, 0, 2700270.tif, 1197, 122, 1272, 252, 0.481311, false
ti, 0, 2700270.tif, 1197, 122, 1272, 252, 0.379690, true
st, 0, 2700270.tif, 1077, 122, 1152, 252, 0.439128, true
ng, 0, 2700270.tif, 1272, 122, 1347, 252, 0.331419, false
nt, 0, 2700270.tif, 1062, 122, 1137, 252, 0.339945, false
it, 0, 2700270.tif, 1182, 122, 1257, 252, 0.262779, false
th, 0, 2700270.tif, 1611, 129, 1686, 261, 0.259862, false
he, 0, 2700270.tif, 1641, 129, 1716, 261, 0.247262, false
er, 0, 2700270.tif, 1641, 129, 1716, 261, 0.330873, true
an, 0, 2700270.tif, 1566, 129, 1641, 261, 0.060336, false
re, 0, 2700270.tif, 1641, 129, 1716, 261, 0.036716, false
on, 0, 2700270.tif, 1551, 129, 1626, 261, 0.166927, false
at, 0, 2700270.tif, 1566, 129, 1641, 261, 0.305249, false
or, 0, 2700270.tif, 1551, 129, 1626, 261, 0.362134, false
es, 0, 2700270.tif, 1641, 129, 1716, 261, 0.072394, false
en, 0, 2700270.tif, 1551, 129, 1626, 261, -0.001420, false
te, 0, 2700270.tif, 1611, 129, 1686, 261, 0.220060, false
nd, 0, 2700270.tif, 1566, 129, 1641, 261, 0.202067, false
ed, 0, 2700270.tif, 1641, 129, 1716, 261, 0.128018, false
